# R/L, m, nT, CHOLESKY, HODLR
10, 1, 10, 0.0126424, 0.0133837
11.279663, 1, 10, 0.0128673, 0.0177476
12.72308, 1, 10, 0.0114213, 0.0226882
14.351206, 1, 10, 0.0194627, 0.0248904
16.187678, 1, 10, 0.0232549, 0.026085
18.259155, 1, 10, 0.0286016, 0.0319434
20.595712, 1, 10, 0.0324363, 0.0494774
23.23127, 1, 10, 0.0413203, 0.0517789
26.20409, 1, 10, 0.0434978, 0.0351541
29.557332, 1, 10, 0.0295638, 0.0599884
33.339675, 1, 10, 0.0586847, 0.0753176
37.606031, 1, 10, 0.0686367, 0.0876868
42.418337, 1, 10, 0.0959657, 0.11069
47.846456, 1, 10, 0.10677, 0.129564
53.969191, 1, 10, 0.134103, 0.148658
60.87543, 1, 10, 0.182591, 0.17665
68.665436, 1, 10, 0.21641, 0.156417
77.4523, 1, 10, 0.206081, 0.151072
87.363586, 1, 10, 0.22869, 0.213271
98.543184, 1, 10, 0.366666, 0.219527
111.15339, 1, 10, 0.449576, 0.31702
125.37729, 1, 10, 0.538333, 0.396684
141.42136, 1, 10, 0.71717, 0.415926
159.51853, 1, 10, 0.928275, 0.493431
179.93153, 1, 10, 1.30827, 0.600145
202.95671, 1, 10, 1.82594, 0.702505
228.92833, 1, 10, 2.61674, 0.814145
258.22345, 1, 10, 3.68736, 0.93065
291.26736, 1, 10, 5.21772, 1.11768
328.53977, 1, 10, 7.33002, 1.24842
370.5818, 1, 10, 10.5958, 1.51454
418.00379, 1, 10, 14.8274, 1.76304
471.49421, 1, 10, 19.9714, 2.11633
531.82959, 1, 10, 27.4238, 2.34223
599.88587, 1, 10, 37.548, 2.75655
676.65106, 1, 10, 51.7808, 3.22564
763.23962, 1, 10, 70.5732, 3.82737
860.90859, 1, 10, 94.9734, 4.31903
971.0759, 1, 10, 129.787, 5.3062
1095.3409, 1, 10, 178.04, 6.11333
1235.5077, 1, 10, 235.872, 6.94073
1393.6111, 1, 10, 328.663, 8.10195
1571.9464, 1, 10, 437.65, 9.41459
1773.1026, 1, 10, 593.965, 10.8905
2000, 1, 10, 792.663, 12.9094
