# R/L, m, nT, CHOLESKY, HODLR
10, 1, 0.1, 0.0113494, 0.014596
11.279663, 1, 0.1, 0.0091157, 0.0157015
12.72308, 1, 0.1, 0.014667, 0.0206486
14.351206, 1, 0.1, 0.0166253, 0.0219045
16.187678, 1, 0.1, 0.0187994, 0.0249381
18.259155, 1, 0.1, 0.0231543, 0.0330313
20.595712, 1, 0.1, 0.0245861, 0.0398388
23.23127, 1, 0.1, 0.0326644, 0.0431793
26.20409, 1, 0.1, 0.0412355, 0.0510065
29.557332, 1, 0.1, 0.0410863, 0.0378657
33.339675, 1, 0.1, 0.0602884, 0.0729916
37.606031, 1, 0.1, 0.071912, 0.0724639
42.418337, 1, 0.1, 0.0884783, 0.0875945
47.846456, 1, 0.1, 0.106679, 0.0883288
53.969191, 1, 0.1, 0.103577, 0.113167
60.87543, 1, 0.1, 0.156945, 0.12758
68.665436, 1, 0.1, 0.167999, 0.145781
77.4523, 1, 0.1, 0.226388, 0.17373
87.363586, 1, 0.1, 0.243339, 0.179851
98.543184, 1, 0.1, 0.297433, 0.257621
111.15339, 1, 0.1, 0.363037, 0.275212
125.37729, 1, 0.1, 0.441934, 0.286438
141.42136, 1, 0.1, 0.650929, 0.365472
159.51853, 1, 0.1, 0.882799, 0.463267
179.93153, 1, 0.1, 1.18274, 0.472519
202.95671, 1, 0.1, 1.75199, 0.594563
228.92833, 1, 0.1, 2.49715, 0.708026
258.22345, 1, 0.1, 3.62667, 0.827427
291.26736, 1, 0.1, 5.11769, 0.885497
328.53977, 1, 0.1, 7.35487, 1.06958
370.5818, 1, 0.1, 10.3996, 1.3152
418.00379, 1, 0.1, 14.5079, 1.45957
471.49421, 1, 0.1, 20.2077, 1.74617
531.82959, 1, 0.1, 28.0362, 2.00713
599.88587, 1, 0.1, 39.0399, 2.34283
676.65106, 1, 0.1, 53.2808, 2.73978
763.23962, 1, 0.1, 72.7819, 3.07638
860.90859, 1, 0.1, 99.6063, 3.62747
971.0759, 1, 0.1, 133.74, 4.31364
1095.3409, 1, 0.1, 181.535, 5.04354
1235.5077, 1, 0.1, 245.529, 5.99047
1393.6111, 1, 0.1, 331.646, 6.86966
1571.9464, 1, 0.1, 451.698, 8.21383
1773.1026, 1, 0.1, 602.919, 9.50305
2000, 1, 0.1, 813.876, 11.2068
