# R/L, m, nT, CHOLESKY, HODLR
10, 5, 0.1, 0.0295989, 0.0334456
11.279663, 5, 0.1, 0.032498, 0.0376749
12.72308, 5, 0.1, 0.0451553, 0.0495377
14.351206, 5, 0.1, 0.0529073, 0.0479336
16.187678, 5, 0.1, 0.0663557, 0.0688865
18.259155, 5, 0.1, 0.0755092, 0.0869929
20.595712, 5, 0.1, 0.095688, 0.100768
23.23127, 5, 0.1, 0.0980383, 0.0832518
26.20409, 5, 0.1, 0.111651, 0.122282
29.557332, 5, 0.1, 0.105451, 0.148612
33.339675, 5, 0.1, 0.142819, 0.133248
37.606031, 5, 0.1, 0.185393, 0.150062
42.418337, 5, 0.1, 0.212048, 0.212563
47.846456, 5, 0.1, 0.189266, 0.208825
53.969191, 5, 0.1, 0.248766, 0.267464
60.87543, 5, 0.1, 0.315534, 0.32122
68.665436, 5, 0.1, 0.364413, 0.323718
77.4523, 5, 0.1, 0.397579, 0.387937
87.363586, 5, 0.1, 0.498507, 0.455765
98.543184, 5, 0.1, 0.536647, 0.527138
111.15339, 5, 0.1, 0.703693, 0.554828
125.37729, 5, 0.1, 0.855652, 0.671444
141.42136, 5, 0.1, 1.06963, 0.785653
159.51853, 5, 0.1, 1.3673, 0.912124
179.93153, 5, 0.1, 1.78578, 1.04761
202.95671, 5, 0.1, 2.47585, 1.25813
228.92833, 5, 0.1, 3.26214, 1.49425
258.22345, 5, 0.1, 4.63933, 1.69784
291.26736, 5, 0.1, 6.20676, 1.88423
328.53977, 5, 0.1, 8.48864, 2.24658
370.5818, 5, 0.1, 11.7434, 2.60399
418.00379, 5, 0.1, 16.0502, 3.02707
471.49421, 5, 0.1, 21.8018, 3.63616
531.82959, 5, 0.1, 29.7234, 4.15389
599.88587, 5, 0.1, 40.5055, 4.87843
676.65106, 5, 0.1, 56.0591, 5.69493
763.23962, 5, 0.1, 74.4525, 6.67321
860.90859, 5, 0.1, 100.774, 7.75403
971.0759, 5, 0.1, 136.111, 9.07934
1095.3409, 5, 0.1, 184.057, 10.6487
1235.5077, 5, 0.1, 247.471, 12.4051
1393.6111, 5, 0.1, 333.738, 14.5343
1571.9464, 5, 0.1, 448.768, 17.1004
1773.1026, 5, 0.1, 607.931, 20.2565
2000, 5, 0.1, 819.938, 23.4465
