# R/L, m, nT, CHOLESKY, HODLR
10, 5, 10, 0.022553, 0.0329306
11.279663, 5, 10, 0.0368983, 0.0390292
12.72308, 5, 10, 0.036269, 0.0413893
14.351206, 5, 10, 0.0498571, 0.048805
16.187678, 5, 10, 0.0477303, 0.0662262
18.259155, 5, 10, 0.0742816, 0.0895775
20.595712, 5, 10, 0.0883896, 0.094442
23.23127, 5, 10, 0.112641, 0.122266
26.20409, 5, 10, 0.125729, 0.127082
29.557332, 5, 10, 0.104201, 0.147657
33.339675, 5, 10, 0.16848, 0.152972
37.606031, 5, 10, 0.173151, 0.194717
42.418337, 5, 10, 0.223256, 0.211982
47.846456, 5, 10, 0.228392, 0.258896
53.969191, 5, 10, 0.28951, 0.260244
60.87543, 5, 10, 0.308382, 0.329232
68.665436, 5, 10, 0.361273, 0.361324
77.4523, 5, 10, 0.45172, 0.420607
87.363586, 5, 10, 0.526006, 0.480715
98.543184, 5, 10, 0.55366, 0.507306
111.15339, 5, 10, 0.700992, 0.623146
125.37729, 5, 10, 0.836841, 0.67837
141.42136, 5, 10, 1.09157, 0.831132
159.51853, 5, 10, 1.44152, 0.976535
179.93153, 5, 10, 1.86436, 1.14029
202.95671, 5, 10, 2.46175, 1.31743
228.92833, 5, 10, 3.32299, 1.6104
258.22345, 5, 10, 4.47701, 1.79598
291.26736, 5, 10, 6.31431, 2.04214
328.53977, 5, 10, 8.45727, 2.45592
370.5818, 5, 10, 11.5089, 2.9806
418.00379, 5, 10, 15.8381, 3.25773
471.49421, 5, 10, 21.2872, 3.86583
531.82959, 5, 10, 29.2904, 4.54009
599.88587, 5, 10, 39.4192, 5.34902
676.65106, 5, 10, 53.7118, 6.17103
763.23962, 5, 10, 72.5796, 7.22936
860.90859, 5, 10, 97.4198, 8.44608
971.0759, 5, 10, 132.567, 10.0859
1095.3409, 5, 10, 178.251, 11.7255
1235.5077, 5, 10, 238.143, 13.8661
1393.6111, 5, 10, 321.268, 15.9956
1571.9464, 5, 10, 435.316, 18.4497
1773.1026, 5, 10, 589.331, 21.5057
2000, 5, 10, 791.066, 25.3119
