# R/L, m, nT, CHOLESKY, HODLR
10, 0, 1, 0.00532405, 0.0106333
11.279663, 0, 1, 0.00924373, 0.0110371
12.72308, 0, 1, 0.00867899, 0.0107432
14.351206, 0, 1, 0.012764, 0.0150344
16.187678, 0, 1, 0.0143804, 0.0173227
18.259155, 0, 1, 0.016304, 0.0204364
20.595712, 0, 1, 0.0195543, 0.0240092
23.23127, 0, 1, 0.0235897, 0.027109
26.20409, 0, 1, 0.0287058, 0.028118
29.557332, 0, 1, 0.0335623, 0.0362509
33.339675, 0, 1, 0.0421096, 0.0430812
37.606031, 0, 1, 0.0509844, 0.0510988
42.418337, 0, 1, 0.057657, 0.0555934
47.846456, 0, 1, 0.0750177, 0.0450182
53.969191, 0, 1, 0.072732, 0.0679965
60.87543, 0, 1, 0.100267, 0.0832634
68.665436, 0, 1, 0.136727, 0.100034
77.4523, 0, 1, 0.159758, 0.118903
87.363586, 0, 1, 0.146185, 0.133074
98.543184, 0, 1, 0.22868, 0.159251
111.15339, 0, 1, 0.225609, 0.186692
125.37729, 0, 1, 0.314904, 0.179107
141.42136, 0, 1, 0.437698, 0.243385
159.51853, 0, 1, 0.513526, 0.248974
179.93153, 0, 1, 0.753259, 0.279426
202.95671, 0, 1, 1.02615, 0.328394
228.92833, 0, 1, 1.41969, 0.370433
258.22345, 0, 1, 1.97767, 0.423291
291.26736, 0, 1, 2.74312, 0.506561
328.53977, 0, 1, 3.78898, 0.583488
370.5818, 0, 1, 5.26418, 0.692515
418.00379, 0, 1, 7.62233, 0.784334
471.49421, 0, 1, 10.0964, 0.90834
531.82959, 0, 1, 13.9382, 1.04693
599.88587, 0, 1, 19.3035, 1.27752
676.65106, 0, 1, 26.1488, 1.43238
763.23962, 0, 1, 36.3363, 1.68175
860.90859, 0, 1, 48.9776, 2.03255
971.0759, 0, 1, 66.9914, 2.35182
1095.3409, 0, 1, 91.4066, 2.81052
1235.5077, 0, 1, 124.475, 3.24359
1393.6111, 0, 1, 169.852, 3.83628
1571.9464, 0, 1, 233.123, 4.56645
1773.1026, 0, 1, 318.314, 5.45338
2000, 0, 1, 435.654, 6.32404
