# R/L, m, nT, CHOLESKY, HODLR
10, 5, 1, 0.0320399, 0.0332632
11.279663, 5, 1, 0.0364297, 0.0385412
12.72308, 5, 1, 0.0380997, 0.0357791
14.351206, 5, 1, 0.0354984, 0.0386702
16.187678, 5, 1, 0.0327454, 0.0687728
18.259155, 5, 1, 0.0643968, 0.0580344
20.595712, 5, 1, 0.0941647, 0.0990419
23.23127, 5, 1, 0.0996477, 0.0962238
26.20409, 5, 1, 0.126097, 0.102386
29.557332, 5, 1, 0.120343, 0.141268
33.339675, 5, 1, 0.097791, 0.148802
37.606031, 5, 1, 0.165443, 0.171633
42.418337, 5, 1, 0.191568, 0.206178
47.846456, 5, 1, 0.193394, 0.250163
53.969191, 5, 1, 0.274933, 0.221527
60.87543, 5, 1, 0.243467, 0.289518
68.665436, 5, 1, 0.320024, 0.365179
77.4523, 5, 1, 0.430575, 0.398032
87.363586, 5, 1, 0.503189, 0.477392
98.543184, 5, 1, 0.572538, 0.486913
111.15339, 5, 1, 0.689569, 0.593778
125.37729, 5, 1, 0.870268, 0.693757
141.42136, 5, 1, 1.03727, 0.813626
159.51853, 5, 1, 1.39044, 0.954878
179.93153, 5, 1, 1.7912, 1.08231
202.95671, 5, 1, 2.41202, 1.26713
228.92833, 5, 1, 3.31202, 1.46857
258.22345, 5, 1, 4.5254, 1.72575
291.26736, 5, 1, 6.15466, 1.95072
328.53977, 5, 1, 8.43485, 2.32861
370.5818, 5, 1, 11.5868, 2.73184
418.00379, 5, 1, 15.9225, 3.16534
471.49421, 5, 1, 21.3956, 3.70697
531.82959, 5, 1, 29.21, 4.34972
599.88587, 5, 1, 39.782, 5.02027
676.65106, 5, 1, 55.5993, 5.82009
763.23962, 5, 1, 73.174, 6.88902
860.90859, 5, 1, 101.704, 8.00563
971.0759, 5, 1, 136.033, 9.37814
1095.3409, 5, 1, 184.824, 11.0607
1235.5077, 5, 1, 248.66, 12.8523
1393.6111, 5, 1, 330.32, 15.3482
1571.9464, 5, 1, 440.214, 17.5453
1773.1026, 5, 1, 592.344, 20.793
2000, 5, 1, 795.4, 24.1885
