# R/L, m, nT, CHOLESKY, HODLR
10, 1, 1, 0.0115854, 0.0153084
11.279663, 1, 1, 0.0133434, 0.0187264
12.72308, 1, 1, 0.0153128, 0.0218932
14.351206, 1, 1, 0.0176524, 0.0248662
16.187678, 1, 1, 0.0201573, 0.0296815
18.259155, 1, 1, 0.0249304, 0.0337968
20.595712, 1, 1, 0.0297117, 0.0412458
23.23127, 1, 1, 0.0347737, 0.0442149
26.20409, 1, 1, 0.0427728, 0.0606646
29.557332, 1, 1, 0.0514104, 0.0611482
33.339675, 1, 1, 0.0469827, 0.077588
37.606031, 1, 1, 0.0767989, 0.0869614
42.418337, 1, 1, 0.0925223, 0.103381
47.846456, 1, 1, 0.101852, 0.116571
53.969191, 1, 1, 0.136584, 0.135003
60.87543, 1, 1, 0.165078, 0.111749
68.665436, 1, 1, 0.175423, 0.150589
77.4523, 1, 1, 0.232662, 0.159821
87.363586, 1, 1, 0.226537, 0.221723
98.543184, 1, 1, 0.330925, 0.22295
111.15339, 1, 1, 0.379964, 0.276831
125.37729, 1, 1, 0.510048, 0.309862
141.42136, 1, 1, 0.670009, 0.368254
159.51853, 1, 1, 0.829525, 0.442333
179.93153, 1, 1, 1.22604, 0.539775
202.95671, 1, 1, 1.74147, 0.654444
228.92833, 1, 1, 2.53849, 0.732664
258.22345, 1, 1, 3.56258, 0.800076
291.26736, 1, 1, 5.1415, 0.932185
328.53977, 1, 1, 7.27677, 1.22961
370.5818, 1, 1, 10.3278, 1.37241
418.00379, 1, 1, 14.4694, 1.55764
471.49421, 1, 1, 20.1671, 1.80512
531.82959, 1, 1, 27.5627, 2.07841
599.88587, 1, 1, 37.8422, 2.55149
676.65106, 1, 1, 52.5216, 2.8706
763.23962, 1, 1, 72.4177, 3.46373
860.90859, 1, 1, 97.4654, 4.01687
971.0759, 1, 1, 135.488, 4.68799
1095.3409, 1, 1, 183.151, 5.56875
1235.5077, 1, 1, 243.567, 6.26622
1393.6111, 1, 1, 328.792, 7.36356
1571.9464, 1, 1, 443.981, 8.70325
1773.1026, 1, 1, 591.655, 10.3292
2000, 1, 1, 808.9, 12.0697
